Job_Id,Designation,Required Skills,Max Exp (in months),Max Exp (in months)
1,CTO,"Leadership Qualities, Entrepreneurial Spirit",0 - 1 yrs,
2,AUTOMATION TEST ENGINEER,SEE BELOW,0 - 0 yrs,
3,Information Security Engineer,"linux/unix, network monitoring, incident response, systems administration, security accessment",4 - 8 yrs,
4,Business Solutions Architect,"Enterprise Solutions Architecture, business inteligence, reports, reporting",11 - 15 yrs,
5,"Java Developer (mid level)- FT- GREAT culture, modern technologies, career growth",Please see job description,6 - 8 yrs,
6,DevOps Engineer,"Configuration Management, Developer, Linux, Management, Process Engineering, VMware",2 - 5 yrs,
7,SAP FICO Architect,"FICO, AR, AP, Asset Management, HAHA",1 - 3 yrs,
8,Network Engineer,"Cisco, DNS, HTTP, Networking, Network Engineer, Security, Video, VPN, Wireless",2 - 7 yrs,
9,Sr. Web Application Developer (Cloud Team) - Chicago,".NET , C#, MVC, RESTful web services, HTTP, AWS, Azure, OOP",1 - 3 yrs,
10,Front End Developer,"C++, Developer, Development, JavaScript, User Interface",1 - 5 yrs,
11,Application Support Engineer,(See Job Description),1 - 3 yrs,
12,OpenStack Engineer - 12185,Openstack,4 - 8 yrs,
13,9001 Data Security Administrator - Unix & IAM,"Unix, IAM, Scripting knowledge, OIM, Windows, Linux",2 - 4 yrs,
14,Software Engineer Manager,"Java, OSS",3 - 8 yrs,
15,Sales Engineer - Los Angles,"Consulting, Project, Sales, Sales Engineer",1 - 5 yrs,
16,Project Manager,mobile device,5 - 7 yrs,
17,Windows System Administrator,(See Job Description),1 - 2 yrs,
18,Test Lead / Test Manager,QA,2 - 4 yrs,
19,Principal Application Analyst-Supply Chain Lawson,Lawson Supply Chain,5 - 10 yrs,
20,Messaging Administrator,"Desktop, Hardware, Network, Software, Systems, Windows",0 - 1 yrs,
21,"Java Architect - Denver, CO - Fulltime",(See Job Description),1 - 5 yrs,
22,IT Business Analyst,"Analysis, Analyst, Application, Business Analyst, Business Requirements, Excel, IT, PowerPoint, Project",5 - 10 yrs,
23,IT Sales Manager,(See Job Description),3 - 8 yrs,
24,Sr. Systems Test Engineer (PERM),"System Testing, Load/Performance Testing, FIX.FAST, C/C++, Java, Windows, Linux",6 - 10 yrs,
25,IT Quality Consultant,"Agile, CASE, Consulting, Defect Management, Manager, Management, Project, Project Management",10 - 12 yrs,
26,USB Validation Engineer,"MATLAB, LabVIEW",4 - 6 yrs,
27,Senior Product Manager,"Do you want a chance to directly improve the customer experience for millions of customers a day? This position is a Product Manager in the Customer Experience team for Fulfillment by Amazon and Amazon Global Selling organization. Our vision is to transform global commerce by bringing selection from around the world to Customers anywhere in the world, with the same great customer experience Buyers expect from Amazon. In this role, you will set strategy and policy, build processes, and evangelize for technology solutions that allow third party Sellers from all over the world to bring hundreds of millions of new items to Amazon's 11 Marketplaces worldwide. You will determine what experience these Sellers must offer our customers, create the incentives and enforcement mechanisms to achieve this experience, and frequently audit the results. Responsibilities for this position will include creation of programs that drive improvement in our key customer experience metrics, management of global programs and stakeholders, and driving alignment for new programs at high levels of the organization. This position will also have management responsibility for product managers, data analysts, and an operations team. From Jeff Bezos' annual letter to Amazon shareholders: ""To further globalize Marketplace, we're now helping sellers in each of our geographies - and in countries where we don't have a presence - reach out to our customers in countries outside their home geographies. We hosted merchants from more than 100 different countries last year, and helped them connect with customers in 185 nations. Almost one-fifth of our overall third-party sales now occur outside the sellers' home countries, and our merchants' cross-border sales nearly doubled last year. In the EU, sellers can open a single account, manage their business in multiple languages, and make products available across our five EU websites. More recently, we've started consolidating cross-border shipments for sellers and helping them obtain ocean shipping from Asia to Europe and North America at preferential, bulk rates."" Fulfillment by Amazon (FBA) is an Amazon service for our third-party Sellers. The FBA team partners with Sellers and our Amazon Fulfillment Centers to create a seamless experience for Sellers to leverage our world-class facilities. 71% of our FBA Sellers report more than a 20% increase in unit sales after joining FBA. In a very real way, we are changing lives with the work we do. Our FBA employees wake up every day thinking about how to enable our Sellers to be successful on our platform. Enabling Seller success allows us to provide Amazon customers with unparalleled selection and pricing. FBA is a win for Sellers and a win for customers. Want to learn more about FBA? ? Seller's success stories: SellerSuccess ? A free book of stories from small businesses/sellers, authors, and innovators that are thriving on Amazon: Transformations-ebook",1 - 6 yrs,
28,Frontend/UI Developer,"Angular.JS, React, Node.js, JavaScript",0 - 1 yrs,
29,1001 Selenium Automation testing,selenium testing automation,3 - 6 yrs,
30,FireEeye HX - Security Engineer,(INFORMATION SECURITY over 1 year(s) OR CYBER SECURITY over 1 year(s) OR SECURITY over 1 year(s) ) AND(FIREEYE OR FIRE EYE ),4 - 8 yrs,
31,Sr. Software Storage Engineer,"C and C++, Linux, UNIX",3 - 7 yrs,
32,C++ Software Engineer,Bachelor's degree with 5 years of experience developing software applications in C++ preferably in a Linux environment is required. Experience with .NET or Java preferred.,5 - 10 yrs,
33,Domestic Outsourcing Business Development Executive,"Development, IT, Network, Project, Sales",5 - 10 yrs,
34,Lead Mobile Product Manager- 12255,"Android, Mobile",1 - 5 yrs,
35,4709317 Project Planner/Scheduler,"Scheduling, Primavera 6.0, Unifier, MS Project Stadard, EIT, Construction, Pharma or Biotech",5 - 10 yrs,
36,Business Systems Analyst,"AI, Maya, Browzwear, 3D",4 - 6 yrs,
37,Lead Java Engineer,"Java and Java EE, JSF, Spring, Struts, and Hibernate",4 - 9 yrs,
38,Project Coordinator II,"Consulting, Database, Lifecycle, Management, Metrics, PMP, Project, Sales, SalesForce, Scheduling, Telecommunications",3 - 5 yrs,
39,Core Java Developer with distributed computing,Need a strong core Java Developer with some good Data experience. Must have experience with distributed computing.,0 - 5 yrs,
40,Software Developer,".NET and C#, SQl",5 - 8 yrs,
41,"Mobile Automation Tester , Rate :Open Negotiable, 1 year","Manual and Automation Mobile testing experience-Desktop applications, Consumer Electronics Devices, and Websites",9 - 12 yrs,
42,Project Manager : Information Security and Risk Management,"Project Management, Operations Analysis, BANKING, (Financial Services, Wealth Management, Regulated Environment, Info Sec, Security and Risk Management,",5 - 8 yrs,
43,Informatica Admin,"Informatica Admin,Oracle,Sql",2 - 5 yrs,
44,"Software Development Engineer, Big Data","DESCRIPTION Do you want to help build a highly personalized homepage that greets each of our millions of customers worldwide every time they visit Amazon.com? Are you interested in building data pipelines that process petabytes of customer behavior data? Amazon's Homepage Personalization team develops and supports personalization and recommendations for Amazon customers across music, books, movies, fashion, and everything else that Amazon offers. We analyze petabytes of implicit and explicit feedback data on our hundreds of millions of customers and billions of products in order to guide the development of a meaningful and highly personalized homepage experience. We are looking for an experienced and forward thinking software engineer with a focus on data engineering to join our team. This person will work closely with other software engineers and machine learning scientists to design and implement predictive, scalable models for everything from product recommendations to personalized mobile content layouts. You will work directly with machine learning scientists to scale up collaborative filtering models on retail purchases, Prime Video views, Prime Music streams, and other Amazon data to deeply understand our customers. This is one of the foremost roles in data engineering with the opportunity to reach millions of customers on one of the highest traffic consumer websites in the world. If you are passionate about data engineering, software engineering and personalization at scale then we encourage you to apply. BASIC QUALIFICATIONS - BS or MS degree in computer science or related field. - Strong coding experience, preferably with Scala, Python, Java, or C++. - Strong grasp of data structures and algorithms. - Ability to explain complex issues in technical and non-technical terms. - Cares deeply about agile software practices, data driven development, and collaborating with other engineers and researchers. - Working knowledge of Hadoop, Spark, Redshift, DynamoDB, Kinesis, or other big data technologies. PREFERRED QUALIFICATIONS - Experience with supervised and unsupervised machine learning models. - Experience with collaborative filtering and recommender systems. - Experience running and evaluating AB Tests.",5 - 10 yrs,
45,Sr. Business Data Analyst,"Analysis, Analyst, Business Analyst, Consulting, Data Analysis, Development, Excel, Manager, Outlook, PowerPoint, Project, SQL, Supervision",7 - 12 yrs,
46,Clinical Site Monitor,(SITE OR ON SITE OR ON-SITE ) AND(MONITOR OR MONITORING ) AND(PHARMA OR PHARMACEUTICAL COMPANIES ) AND(CRA OR CLINICAL RESEARCH ASSOCIATE ),0 - 0 yrs,
47,Product QA Engineer,Telecommuting not available Travel not required,6 - 10 yrs,
48,System Support Administrator,(See Job Description),3 - 8 yrs,
49,Java Developer (Ecommerce),"Looking for two-to-three Senior Java Developers with experience in eCommerce. Strong Java, Spring Framework and Hibernate ORM. The ideal candidate will have experience building their own e-commerce product or working with an existing ecommerce site. Looking for typical eCommerce experience such as PIM, PCI, shopping carts, payment gateways, catalogs, etc. Any experience with BroadLeaf, ElasticPath or KonaKart is a plus. My client will train on the eCommerce tools",3 - 6 yrs,
50,Geolocation Engineer,"Electrical Engineering degree with experience in scientific programming, especially C/C++, GPS or other navigation systems; geolocation observable processing.",3 - 6 yrs,
51,Director of Product Development,"Active Secret clearance required, knowledge of product development and procedures, including knowledge of general accounting. Ability to manage a diverse range of technical operations",2 - 4 yrs,
